"cui","sab","code"
C0017259,GO,GO:0035822
C0017262,GO,GO:0010467
C0017263,GO,GO:0010468
C0017301,GO,GO:0051866
C0017416,HPO,HP:0033020
C0017417,HPO,HP:0033019
C0017563,HPO,HP:0000704
C0017565,HPO,HP:0000225
C0017566,HPO,HP:0000212
C0017567,HPO,HP:0000212
C0017572,HPO,HP:0030816
C0017574,HPO,HP:0000230
C0017601,HPO,HP:0000501
C0017605,HPO,HP:0012109
C0017605,HPO,HP:0032119
C0017606,HPO,HP:0012109
C0017612,HPO,HP:0012108
C0017626,GO,GO:0097426
C0017636,HPO,HP:0100843
C0017638,HPO,HP:0009733
C0017639,GO,GO:0150103
C0017639,HPO,HP:0002171
C0017658,HPO,HP:0000099
C0017661,HPO,HP:0000794
C0017662,HPO,HP:0000793
C0017665,HPO,HP:0012578
C0017668,HPO,HP:0000097
C0017671,HPO,HP:0003001
C0017672,HPO,HP:0030811
C0017675,HPO,HP:0000206
C0017677,HPO,HP:0025252
C0017689,HPO,HP:0030404
C0017715,GO,GO:0006094
C0017952,GO,GO:0006096
C0017979,HPO,HP:0003076
C0017982,GO,GO:0070085
C0018021,HPO,HP:0000853
C0018023,HPO,HP:0005994
C0018042,GO,GO:0005794
C0018042,GO,GO:0005795
C0018051,HPO,HP:0000133
C0018054,HPO,HP:0008668
C0018055,HPO,HP:0000133
C0018099,HPO,HP:0001997
C0018179,HPO,HP:0007802
C0018188,HPO,HP:0032252
C0018213,HPO,HP:0100647
C0018270,GO,GO:0040007
C0018418,HPO,HP:0000771
C0018520,HPO,HP:0100812
C0018524,HPO,HP:0000738
C0018536,HPO,HP:0001822
C0018552,HPO,HP:0010566
C0018564,HPO,HP:0001155
C0018621,HPO,HP:0003193
C0018621,HPO,HP:0012395
C0018671,HPO,HP:0012288
C0018672,HPO,HP:0012168
C0018681,HPO,HP:0002315
C0018759,HPO,HP:0032319
C0018767,GO,GO:0007605
C0018772,HPO,HP:0000365
C0018777,HPO,HP:0000405
C0018780,HPO,HP:0005101
C0018784,HPO,HP:0000407
C0018790,HPO,HP:0001695
C0018794,HPO,HP:0012722
C0018798,HPO,HP:0001627
C0018798,HPO,HP:0002564
C0018800,HPO,HP:0001640
C0018801,HPO,HP:0001635
C0018802,HPO,HP:0001635
C0018808,HPO,HP:0030148
C0018809,HPO,HP:0100544
C0018816,HPO,HP:0001671
C0018816,HPO,HP:0004760
C0018817,HPO,HP:0001631
C0018818,HPO,HP:0001629
C0018824,HPO,HP:0001654
C0018834,HPO,HP:0002020
C0018854,HPO,HP:0020195
C0018862,HPO,HP:0012313
C0018871,HPO,HP:0020082
C0018916,HPO,HP:0001028
C0018920,HPO,HP:0001048
C0018923,HPO,HP:0200058
C0018924,HPO,HP:0005261
C0018926,HPO,HP:0002248
C0018932,HPO,HP:0002573
C0018934,HPO,HP:0031923
C0018939,HPO,HP:0001871
C0018946,HPO,HP:0100309
C0018951,GO,GO:0030097
C0018965,HPO,HP:0000790
C0018975,HPO,HP:0012047
C0018979,HPO,HP:0012377
C0018989,HPO,HP:0001269
C0018991,HPO,HP:0002301
C0018994,HPO,HP:0100762
C0019026,HPO,HP:0011903
C0019048,HPO,HP:0003641
C0019061,HPO,HP:0005575
C0019064,HPO,HP:0011851
C0019065,HPO,HP:0011854
C0019079,HPO,HP:0002105
C0019087,HPO,HP:0001928
C0019112,HPO,HP:0032551
C0019116,GO,GO:0007599
C0019123,HPO,HP:0012151
C0019151,HPO,HP:0002480
C0019154,HPO,HP:0030243
C0019158,HPO,HP:0012115
C0019189,HPO,HP:0200123
C0019209,HPO,HP:0002240
C0019214,HPO,HP:0001433
C0019270,HPO,HP:0100790
C0019288,HPO,HP:0100541
C0019294,HPO,HP:0000023
C0019322,HPO,HP:0001537
C0019326,HPO,HP:0002933
C0019397,GO,GO:0000792
C0019516,GO,GO:0042750
C0019521,HPO,HP:0100247
C0019554,HPO,HP:0002827
C0019555,HPO,HP:0001374
C0019559,HPO,HP:0003365
C0019569,HPO,HP:0002251
C0019572,HPO,HP:0001007
C0019618,HPO,HP:0100727
C0019655,HPO,HP:0032256
C0019681,HPO,HP:0012077
C0019825,HPO,HP:0001609
C0019829,HPO,HP:0012189
C0019868,GO,GO:0042592
C0019880,HPO,HP:0002156
C0019917,HPO,HP:0010606
C0019919,HPO,HP:0010607
C0019937,HPO,HP:0002277
C0020039,HPO,HP:0031473
C0020058,HPO,HP:0032550
C0020186,HPO,HP:0012413
C0020217,HPO,HP:0032192
C0020224,HPO,HP:0001561
C0020225,HPO,HP:0002324
C0020241,HPO,HP:0032381
C0020255,HPO,HP:0000238
C0020258,HPO,HP:0002343
C0020295,HPO,HP:0000126
C0020305,HPO,HP:0001789
C0020312,HPO,HP:0011920
C0020428,HPO,HP:0000859
C0020429,HPO,HP:0031005
C0020437,HPO,HP:0003072
C0020438,HPO,HP:0002150
C0020440,HPO,HP:0012416
C0020443,HPO,HP:0003124
C0020450,HPO,HP:0012188
C0020453,HPO,HP:0100963
C0020455,HPO,HP:0010702
C0020456,HPO,HP:0003074
C0020458,HPO,HP:0000975
C0020459,HPO,HP:0000842
C0020461,HPO,HP:0002153
C0020473,HPO,HP:0003077
C0020474,HPO,HP:0008158
C0020476,HPO,HP:0010980
C0020488,HPO,HP:0003228
C0020490,HPO,HP:0000540
C0020492,HPO,HP:0100774
C0020494,HPO,HP:0004438
C0020496,HPO,HP:0004330
C0020500,HPO,HP:0003159
C0020502,HPO,HP:0000843
C0020503,HPO,HP:0000867
C0020505,HPO,HP:0002591
C0020506,HPO,HP:0010514
C0020517,GO,GO:0002524
C0020517,HPO,HP:0012393
C0020522,GO,GO:0001806
C0020523,GO,GO:0016068
C0020532,HPO,HP:0001971
C0020534,HPO,HP:0000316
C0020538,HPO,HP:0000822
C0020541,HPO,HP:0001409
C0020545,HPO,HP:0100817
C0020546,HPO,HP:0100735
C0020550,HPO,HP:0000836
C0020555,HPO,HP:0000998
C0020565,HPO,HP:0010313
C0020575,HPO,HP:0025586
C0020578,HPO,HP:0002883
C0020580,HPO,HP:0003474
C0020581,HPO,HP:0011886
C0020598,HPO,HP:0002901
C0020599,HPO,HP:0003127
C0020608,HPO,HP:0000668
C0020615,HPO,HP:0001943
C0020617,HPO,HP:0001325
C0020619,HPO,HP:0000135
C0020620,HPO,HP:0000966
C0020621,HPO,HP:0002900
C0020623,HPO,HP:0010981
C0020625,HPO,HP:0002902
C0020626,HPO,HP:0000829
C0020635,HPO,HP:0040075
C0020641,HPO,HP:0031615
C0020649,HPO,HP:0002615
C0020651,HPO,HP:0001278
C0020672,HPO,HP:0002045
C0020676,HPO,HP:0000821
C0020683,HPO,HP:0031274
C0020725,HPO,HP:0003264
C0020757,HPO,HP:0008064
C0020796,HPO,HP:0002187
C0020855,GO,GO:0071735
C0020856,GO,GO:0071735
C0020877,HPO,HP:0032564
C0020964,GO,GO:0006955
C0020966,GO,GO:0002449
C0020966,GO,GO:0002456
C0020969,GO,GO:0045087
